10.1.18.1		00:80:5F:E2:7A:CE
10.1.18.2		00:80:5F:E2:7A:CE
10.1.18.3		00:80:5F:E2:7A:CE
10.1.18.4		00:80:5F:E2:7A:CE
10.1.18.5		00:80:5F:E2:7A:CE
10.1.18.6		00:80:5F:E2:7A:CE
10.1.18.7		00:80:5F:E2:7A:CE
10.1.18.8		00:80:5F:E2:7A:CE
10.1.18.9		00:80:5F:E2:7A:CE
10.1.18.10		00:80:5F:E2:7A:CE
10.1.18.11		00:80:5F:E2:7A:CE
10.1.18.12		00:80:5F:E2:7A:CE
10.1.18.13		00:80:5F:E2:7A:CE
10.1.18.14		00:80:5F:E2:7A:CE
10.1.18.15		00:80:5F:E2:7A:CE
10.1.18.16		00:80:5F:E2:7A:CE
10.1.18.17		00:80:5F:E2:7A:CE
10.1.18.18		00:80:5F:E2:7A:CE
10.1.18.19		00:80:5F:E2:7A:CE
10.1.18.20		00:80:5F:E2:7A:CE
10.1.18.21		00:80:5F:E2:7A:CE
10.1.18.22		00:80:5F:E2:7A:CE
10.1.18.23		00:80:5F:E2:7A:CE
10.1.18.24		00:80:5F:E2:7A:CE
10.1.18.25		00:80:5F:E2:7A:CE
10.1.18.26		00:80:5F:E2:7A:CE
10.1.18.27		00:80:5F:E2:7A:CE
10.1.18.28		00:80:5F:E2:7A:CE
10.1.18.29		00:80:5F:E2:7A:CE
10.1.18.30		00:80:5F:E2:7A:CE
10.1.18.31		00:80:5F:E2:7A:CE
10.1.18.32		00:80:5F:E2:7A:CE
10.1.18.33		00:80:5F:E2:7A:CE
10.1.18.34		00:80:5F:E2:7A:CE
10.1.18.35		00:80:5F:E2:7A:CE
10.1.18.36		00:80:5F:E2:7A:CE
10.1.18.37		00:80:5F:E2:7A:CE
10.1.18.38		00:80:5F:E2:7A:CE
10.1.18.39		00:80:5F:E2:7A:CE
10.1.18.40		00:80:5F:E2:7A:CE
10.1.18.41		00:80:5F:E2:7A:CE
10.1.18.42		00:80:5F:E2:7A:CE
10.1.18.43		00:80:5F:E2:7A:CE
10.1.18.44		00:80:5F:E2:7A:CE
10.1.18.45		00:80:5F:E2:7A:CE
10.1.18.46		00:80:5F:E2:7A:CE
10.1.18.47		00:80:5F:E2:7A:CE
